"dn" "gamma" "eta" "dm" "alpha" "rn"
"1" 0.00788011206450942 0.140257696025074 9.44740520290119 0.0104710291028282 0.096069448184612 4.81337627326138
"2" 0.00258064066099469 0.0192893974552862 9.81513889052687 0.0064056115199889 0.110569967812624 5.59225894662086
"3" 0.00693748337463452 0.0155645851616282 9.67999544494822 0.0108686680702228 0.0946885922536678 8.75127849681303
"4" 0.0159240334113725 0.191102617428405 10.3213425105515 0.0096922320640751 0.0966665590578427 7.52384189411532
"5" 0.00397578503719042 0.131115166625241 10.0538070735859 0.0135199548256621 0.0915988089068116 6.64135842397809
"6" 0.0097298762301784 0.0912685193994548 9.20553632825492 0.0109009580081564 0.103148781217755 5.58222686510999
"7" 0.0196216477488698 0.239698617276736 10.0129562164726 0.00897591385810997 0.0973355999865943 6.04004571039695
"8" 0.00194780639216932 0.0424000348662958 10.6544377912655 0.00895370947949282 0.0993594271541829 7.49652542069089
"9" 0.0170652536193761 0.0674045421904884 10.1787869548882 0.0114333120945151 0.099663893161278 3.92730345274322
"10" 0.0182823264682873 0.109927416032879 10.2595458863351 0.0108025565416939 0.0981117640244596 5.80885445035528
"11" 0.0118160345197523 0.199732676580315 9.65417144196544 0.0113827163537593 0.103798514677355 6.56217214919161
"12" 0.0191971983215706 0.166910540650133 8.88900412404299 0.00690046993337867 0.158789104788235 6.89990079426207
"13" 0.00371080431894725 0.235898375408724 10.184239837499 0.0112673183784083 0.0985076140401105 6.25384110503364
"14" 0.00395052565512457 0.0309685416601133 10.0843660849235 0.0118406825304259 0.101233931335813 5.05480542650912
"15" 0.0191279708790395 0.231823548043612 10.1499862631212 0.0102997607400606 0.101281810335808 5.648102084524
"16" 0.00560996713194041 0.0804664252512157 9.05104361795515 0.00608661413586281 0.104213376033099 3.57343719690107
"17" 0.0108163652726905 0.173794554366032 9.51190434778018 0.0091995979412732 0.102388434473642 6.92720311356243
"18" 0.0111440704207057 0.238200898253126 10.1746913173821 0.011769838580057 0.099004186525343 8.25954928610008
"19" 0.0157554151156764 0.0401495141908526 9.76273143061469 0.00979030273104358 0.0900005629223724 3.87440602073912
"20" 0.00401120957116736 0.160417036789004 7.9738009637307 0.00674864540807195 0.118576488331222 6.85310780047439
"21" 0.0129863206581732 0.0223550831642933 9.61009003488684 0.0098978029541842 0.0968507373817653 8.098742237431
"22" 0.00848995571032981 0.0926029494288377 10.2919802203758 0.010027400549819 0.10090782365841 8.32250771997496
"23" 0.0135726739589842 0.0248590260755736 9.61858287259243 0.00985735413331466 0.102118887235996 8.94662505295128
