"V1" "V2"
"result.1" 1 3.00378350802253
"result.2" 2 0.45683680058794
"result.3" 3 5.26462843701052
"result.4" 4 4.34690929868585
"result.5" 5 9.98568142731131
"result.6" 6 13.2552134715969
"result.7" 7 0.614825143323802
"result.8" 8 0.734045110961002
"result.9" 9 2.36416059878234
"result.10" 10 0.68100480717531
"result.11" 11 3.67870428319811
"result.12" 12 6.93008691080843
"result.13" 13 7.95339075082578
"result.14" 14 4.30798390541855
"result.15" 15 2.50835648168818
"result.16" 16 1.25966896445945
"result.17" 17 1.64285484080129
"result.18" 18 1.54849239433464
"result.19" 19 1.01018461419973
"result.20" 20 10.2520614356918
"result.21" 21 1.27374474933478
"result.22" 22 2.95328255681072
"result.23" 23 1.50018866017619
"result.24" 24 1.72448229865759
"result.25" 25 0.700609497003644
"result.26" 26 0.866128702539924
"result.27" 27 1.21692357114303
"result.28" 28 5.18509001685805
"result.29" 29 3.64490450090895
"result.30" 30 0.334982478281207
"result.31" 31 3.8001082140499
"result.32" 32 9.17013510392508
"result.33" 33 2.54781191780332
"result.34" 34 1.00264654232189
"result.35" 35 0.464981420630111
"result.36" 36 7.4097977784054
"result.37" 37 5.72583255262641
"result.38" 38 0.684087519544879
"result.39" 39 6.42297964842519
"result.40" 40 1.709640543335
"result.41" 41 5.1543487516474
"result.42" 42 0.591021681127527
"result.43" 43 4.8782680415445
"result.44" 44 5.23965107535021
"result.45" 45 2.07141516290444
"result.46" 46 0.856262838160418
"result.47" 47 6.71184284477748
"result.48" 48 1.7523623015058
"result.49" 49 5.91600734318553
"result.50" 50 1.07731221580394
"result.51" 51 1.80437913860466
"result.52" 52 0.740937161809013
"result.53" 53 1.04737012413674
"result.54" 54 2.95156746214687
"result.55" 55 6.89787911751936
"result.56" 56 7.87702825101839
"result.57" 57 5.30360575956468
"result.58" 58 13.5452643435978
"result.59" 59 0.599296435474243
"result.60" 60 4.74071715718492
"result.61" 61 5.15155842169707
"result.62" 62 1.77597214819903
"result.63" 63 0.590472778364922
"result.64" 64 1.93216210127824
"result.65" 65 3.6886773119195
"result.66" 66 3.23931890289102
"result.67" 67 0.542077061347225
"result.68" 68 1.98589542746622
"result.69" 69 0.982346072620884
"result.70" 70 0.756345702285485
"result.71" 71 0.767124793945419
"result.72" 72 14.9929828675686
"result.73" 73 1.0599317008769
"result.74" 74 18.8728458712013
"result.75" 75 5.12813054337497
"result.76" 76 2.35473030665879
"result.77" 77 1.06244427924577
"result.78" 78 1.60347747387989
"result.79" 79 0.398275949547758
"result.80" 80 1.14362332254136
"result.81" 81 2.63188303976348
"result.82" 82 0.808285590584603
"result.83" 83 0.669044229064374
"result.84" 84 0.869842670960882
"result.85" 85 3.36480797564648
"result.86" 86 7.95616937125627
"result.87" 87 8.01392251374629
"result.88" 88 11.905035770485
"result.89" 89 5.29025373659456
"result.90" 90 1.01961760312917
"result.91" 91 0.535034303749608
"result.92" 92 5.57209910534073
"result.93" 93 9.46893815499977
"result.94" 94 1.19827793592128
"result.95" 95 1.28492475849929
"result.96" 96 2.2689870905133
"result.97" 97 0.424807536606693
"result.98" 98 5.04066804617643
"result.99" 99 2.62744237472236
"result.100" 100 6.91372731831635
"result.101" 101 9.93114963942235
"result.102" 102 0.728877877540276
"result.103" 103 1.13635158485674
"result.104" 104 9.80932760520949
"result.105" 105 6.57359497932204
"result.106" 106 4.4087047491962
"result.107" 107 5.59234575808782
"result.108" 108 1.03735072520627
"result.109" 109 2.80737311111991
"result.110" 110 0.983255228385716
"result.111" 111 0.718770311749006
"result.112" 112 8.10252378987301
"result.113" 113 0.747115428737609
"result.114" 114 3.22255095621243
"result.115" 115 1.01403172610872
"result.116" 116 2.60217384462721
"result.117" 117 1.29039576280343
"result.118" 118 0.993725372010025
"result.119" 119 2.57340583754606
"result.120" 120 0.844585834237997
"result.121" 121 1.50739012320577
"result.122" 122 1.97590845385464
"result.123" 123 0.925907208590002
"result.124" 124 1.68788129363663
"result.125" 125 2.43101473377051
"result.126" 126 0.953284771805856
"result.127" 127 4.46528910477511
"result.128" 128 1.85886979669548
"result.129" 129 0.48830018103344
"result.130" 130 3.77281971450086
"result.131" 131 4.83774211539958
"result.132" 132 14.6412529348342
"result.133" 133 0.759182781687377
"result.134" 134 3.44762484239028
"result.135" 135 1.19001352442695
"result.136" 136 3.21083055726982
"result.137" 137 0.687025020035884
"result.138" 138 9.02196749350028
"result.139" 139 1.15350374218361
"result.140" 140 1.55109335129024
"result.141" 141 5.13728088044417
"result.142" 142 2.00350874298401
"result.143" 143 2.67879425736447
"result.144" 144 0.564254053223372
"result.145" 145 0.991717066729946
"result.146" 146 3.56546980378043
"result.147" 147 3.80060148670356
"result.148" 148 5.95805955432449
"result.149" 149 5.99003010094033
"result.150" 150 1.57088765194526
"result.151" 151 1.22858486535989
"result.152" 152 1.11572273207417
"result.153" 153 0.749828230001428
"result.154" 154 1.0157536364932
"result.155" 155 4.5738237180259
"result.156" 156 3.32492797330889
"result.157" 157 5.40585704051269
"result.158" 158 4.54424376877331
"result.159" 159 0.95699528290698
"result.160" 160 6.80451496218782
"result.161" 161 5.84223116511441
"result.162" 162 NA
"result.163" 163 3.77217643968367
"result.164" 164 3.05800451030225
"result.165" 165 2.5396543124513
"result.166" 166 4.37972703868215
"result.167" 167 1.41033463214713
"result.168" 168 4.31814244456016
"result.169" 169 0.396828748440297
"result.170" 170 4.20823792346975
"result.171" 171 1.18404305463824
"result.172" 172 1.11390536179292
"result.173" 173 1.61914354464515
"result.174" 174 5.49845894401063
"result.175" 175 0.447312973429424
"result.176" 176 3.72674445406872
"result.177" 177 4.54011467105424
"result.178" 178 2.87906193562336
"result.179" 179 11.6921389407585
"result.180" 180 3.83935182181254
"result.181" 181 0.758339421023602
"result.182" 182 1.27824798285229
"result.183" 183 1.21106869069886
"result.184" 184 10.3942944622394
"result.185" 185 5.19864566181393
"result.186" 186 2.07479475982457
"result.187" 187 1.63152583981183
"result.188" 188 2.24393839174186
"result.189" 189 5.34200759566043
"result.190" 190 0.623292680486265
"result.191" 191 1.43039104702518
"result.192" 192 0.555755267390699
"result.193" 193 1.30309780955511
"result.194" 194 0.590962699116842
"result.195" 195 5.15048869306806
"result.196" 196 1.6624791349285
"result.197" 197 2.37670776458571
"result.198" 198 4.44167061843921
"result.199" 199 0.55987983225152
"result.200" 200 3.01284807598926
"result.201" 201 9.31871742098619
"result.202" 202 1.61265514948832
"result.203" 203 1.76760629447581
"result.204" 204 3.3396951806997
"result.205" 205 4.23173976473576
"result.206" 206 2.60258445216331
"result.207" 207 2.08696009520216
"result.208" 208 0.501605282965901
"result.209" 209 1.01187476719548
"result.210" 210 7.9737780000431
