"dn" "gamma" "eta" "dm" "alpha" "rn"
"paras.ests.ds1" 0.0118672850268342 0.0538016246836161 9.83517840707215 0.00950868473193695 0.0998703922610288 5.4910400674501
"paras.ests.ds2" 0.00988617637344582 0.0519856336418243 10.0083889742232 0.0100738565997581 0.100034184779069 5.17962533448258
"paras.ests.ds3" 0.00940101109088183 0.0519420648853015 10.1066460633115 0.00988582807061294 0.10045659583167 5.12361956509149
"paras.ests.ds4" 0.0111603063909298 0.0543568668931142 9.98526155509487 0.00966843321388067 0.0996308592467328 5.46531584601745
"paras.ests.ds5" 0.00997311290300634 0.0508704325087004 10.0748254232144 0.010137974315392 0.100247951257846 5.07086706153946
"paras.ests.ds6" 0.0104440901009122 0.0503157379819082 10.0938569730236 0.0100092662543186 0.100648722449631 5.09294997630398
"paras.ests.ds7" 0.0109944067544524 0.0495360747294545 10.0081336131115 0.00988808272553982 0.0998032624514073 5.02983841559659
"paras.ests.ds8" 0.0109140358173103 0.0495679507227747 10.0859474012477 0.0101994411093441 0.0997295877213412 4.99537539602753
"paras.ests.ds9" 0.0097259481604757 0.0516259054527404 9.95065601639121 0.0100959602995466 0.0998393103079445 5.15714077472257
"paras.ests.ds10" 0.0103184820287145 0.0545023558549219 9.93957331108484 0.00964701836326815 0.100294875738396 5.39724018474562
